locID,CNN,xLoc,yLoc,LocationDescription,curbReturnLoc,positionOnReturn,Latitude,Longitude,LastUpdate,InvenID,conditionScore,detectableSurf,vitalFacilities,heavyTraffic,lipTooHigh,probStreetMeetCR,possBasementObstacle,signalPoleInWing,catchBasinFrontOfCR,insideCrosswalk,surfCond,slopeWing,flushToCorner,colorContrast,paintedRed,topClearance,sideClearance,CRTooNarrow,levelLandTop,levelLandBottom,slopeRangeID,crPossible,crExist,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
22831000-SE-Left,22831000,5994256.9978,2097342.85156,SAN PABLO AVE: SANTA MONICA WAY intersection,SE,Left,37.73870823003463,-122.46247422340171,11/10/2020 06:44:16 AM,14985.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.73870823003463, -122.46247422340173)",9.0,8.0,4.0,59.0,40.0
11458101-SE-MB-I,11458101,5998523.859145,2090456.251147,SAN JOSE AVE: GENEVA AVE to NIAGARA AVE (2301 - 2399) -- SOUTH --,SE,MB,37.720098304617736,-122.44707546071216,11/10/2020 06:44:16 AM,52170.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.720098304617736, -122.44707546071217)",9.0,7.0,6.0,28861.0,25.0
22831000-S-Left,22831000,5994208.03891,2097336.76791,SAN PABLO AVE: SANTA MONICA WAY intersection,S,Left,37.73870823003463,-122.46247422340171,11/10/2020 06:44:16 AM,14983.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73870823003463, -122.46247422340173)",9.0,8.0,4.0,59.0,40.0
22918000-E-Left,22918000,5993712.29483,2097375.58247,SAN LORENZO WAY: SANTA MONICA WAY intersection,E,Left,37.73863058349783,-122.4643614633581,11/10/2020 06:44:16 AM,15438.0,0,,,,,,,,,,,,,,,,,,,,,Y30,0,"(37.73863058349783, -122.4643614633581)",1.0,8.0,4.0,59.0,40.0
22831000-NE-Right,22831000,5994254.38626,2097429.89043,SAN PABLO AVE: SANTA MONICA WAY intersection,NE,Right,37.73870823003463,-122.46247422340171,11/10/2020 06:44:16 AM,14981.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.73870823003463, -122.46247422340173)",9.0,8.0,4.0,59.0,40.0
11458101-S-MB,11458101,5998509.180373,2090427.811376,SAN JOSE AVE: GENEVA AVE to NIAGARA AVE (2301 - 2399) -- SOUTH --,S,MB,37.720098304617736,-122.44707546071216,11/10/2020 06:44:16 AM,52169.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.720098304617736, -122.44707546071217)",9.0,7.0,6.0,28861.0,25.0
11458101-E-MB-I,11458101,5998529.805062,2090467.771219,SAN JOSE AVE: GENEVA AVE to NIAGARA AVE (2301 - 2399) -- SOUTH --,E,MB,37.720098304617736,-122.44707546071216,11/10/2020 06:44:16 AM,52171.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.720098304617736, -122.44707546071217)",9.0,7.0,6.0,28861.0,25.0
22919000-NE-Right,22919000,5993746.96077,2097667.62486,SAN LORENZO WAY: SANTA MONICA WAY intersection,NE,Right,37.73933684815814,-122.46427014994458,11/10/2020 06:44:16 AM,15444.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.73933684815814, -122.46427014994458)",1.0,8.0,4.0,59.0,40.0
22918000-E-Right,22918000,5993702.80337,2097392.62935,SAN LORENZO WAY: SANTA MONICA WAY intersection,E,Right,37.73863058349783,-122.4643614633581,11/10/2020 06:44:16 AM,15439.0,0,,,,,,,,,,,,,,,,,,,,,Y44,0,"(37.73863058349783, -122.4643614633581)",1.0,8.0,4.0,59.0,40.0
22919000-SE-Left,22919000,5993722.31941,2097568.22906,SAN LORENZO WAY: SANTA MONICA WAY intersection,SE,Left,37.73933684815814,-122.46427014994458,11/10/2020 06:44:16 AM,15447.0,0,,,,,,,,,,,,,,,,,,,,,Y29,0,"(37.73933684815814, -122.46427014994458)",1.0,8.0,4.0,59.0,40.0
