locID,CNN,xLoc,yLoc,LocationDescription,curbReturnLoc,positionOnReturn,Latitude,Longitude,LastUpdate,InvenID,conditionScore,detectableSurf,vitalFacilities,heavyTraffic,lipTooHigh,probStreetMeetCR,possBasementObstacle,signalPoleInWing,catchBasinFrontOfCR,insideCrosswalk,surfCond,slopeWing,flushToCorner,colorContrast,paintedRed,topClearance,sideClearance,CRTooNarrow,levelLandTop,levelLandBottom,slopeRangeID,crPossible,crExist,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
54062000-NE-Left,54062000,6004341.48369,2112242.55607,BUCHANAN ST: GOLDEN GATE AVE intersection,NE,Left,37.77998390140311,-122.42866508396185,11/10/2020 06:44:16 AM,49100.0,33,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,1.0,0.0,4.0,,1,"(37.77998390140311, -122.42866508396183)",7.0,9.0,11.0,29490.0,41.0
30758000-SW-Right,30758000,6004820.10955,2108381.05094,BUCHANAN ST: DUBOCE AVE \ MARKET ST intersection,SW,Right,37.76960258359859,-122.42630943854049,11/10/2020 06:44:16 AM,46584.0,36,,,,,,,,,,,,,,,,,,,,5.0,,1,"(37.76960258359859, -122.42630943854049)",7.0,4.0,5.0,28853.0,19.0
33127000-NE-Right,33127000,6018161.7531,2092934.95122,CRISP RD: GRIFFITH ST intersection,NE,Right,37.72773226354772,-122.37959926152746,11/10/2020 06:44:16 AM,47282.0,30,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.72773226354772, -122.37959926152746)",10.0,3.0,8.0,58.0,1.0
26210000-NW-Left,26210000,5999643.84595,2106523.71247,CLIFFORD TER: UPPER TER intersection,NW,Left,37.76398691492864,-122.44441170840906,11/10/2020 06:44:16 AM,33956.0,47,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,4.0,,1,"(37.76398691492864, -122.44441170840906)",15.0,5.0,5.0,29492.0,3.0
23889000-W-Right,23889000,6012444.93387,2111251.80045,05TH ST: BRYANT ST \ I-80 E ON RAMP intersection,W,Right,37.77779899698383,-122.4002977597228,11/10/2020 06:44:16 AM,21300.0,33,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,1.0,0.0,4.0,,1,"(37.77779899698383, -122.40029775972279)",14.0,2.0,9.0,28856.0,34.0
26719000-NE-Right,26719000,6004300.62404,2119464.55207,GREENWICH ST: OCTAVIA ST intersection,NE,Right,37.799788122671536,-122.42929020094547,11/10/2020 06:44:16 AM,37115.0,47,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.799788122671536, -122.42929020094549)",13.0,9.0,1.0,57.0,17.0
25825000-N-Left,25825000,6001937.88763,2106461.46128,16TH ST: FLINT ST intersection,N,Left,37.76398266779493,-122.43653487590772,11/10/2020 06:44:16 AM,31699.0,27,,,,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,,,0.0,1.0,,4.0,,1,"(37.76398266779493, -122.43653487590771)",15.0,5.0,5.0,28862.0,3.0
23553000-SE-Left,23553000,6016132.60267,2103941.6343,22ND ST: ILLINOIS ST intersection,SE,Left,37.75799994046808,-122.38731269263388,11/10/2020 06:44:16 AM,19393.0,50,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,4.0,,1,"(37.757999940468075, -122.38731269263387)",10.0,3.0,8.0,28856.0,29.0
25960000-NW-Right,25960000,6004787.82746,2112117.26066,LAGUNA ST: REDWOOD ST intersection,NW,Right,37.7796106895873,-122.42689955065764,11/10/2020 06:44:16 AM,32527.0,32,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,4.0,,1,"(37.7796106895873, -122.42689955065764)",7.0,9.0,11.0,28852.0,41.0
30735000-E-Right,30735000,6012139.37805,2115263.39249,MARKET ST: MONTGOMERY ST \ NEW MONTGOMERY ST intersection,E,Right,37.78872113852066,-122.40206572997252,11/10/2020 06:44:16 AM,46450.0,40,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,1.0,0.0,0.0,4.0,,1,"(37.78872113852066, -122.40206572997253)",12.0,2.0,9.0,28855.0,6.0
24015000-NE-Right,24015000,6010680.90137,2105533.60983,18TH ST: UTAH ST intersection,NE,Right,37.761996389428695,-122.40618198339332,11/10/2020 06:44:16 AM,22107.0,33,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,1.0,4.0,,1,"(37.761996389428695, -122.40618198339331)",8.0,4.0,8.0,28859.0,19.0
